index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,obs_joint_0_pos,obs_joint_1_pos,obs_joint_2_pos,obs_joint_3_pos,obs_joint_4_pos,obs_joint_5_pos,obs_joint_6_pos,obs_joint_7_pos,obs_joint_8_pos,obs_joint_9_pos,obs_joint_10_pos,obs_joint_11_pos,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
288,-0.1908892693679826,-0.06461910986450446,1.9601259874318653,0.11803506847556708,0.46175896629148666,0.8759989456172627,0.07397450193701983,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.20831625074059779,-0.2188270880856894,0.23135877701875907,0.23217248153666745,0.1640420594467671,-0.21743156388339635,0.23249636009068764,0.22914346898104085,0.22936016116232114,-0.21361022892104672,0.2312492447094058,0.23095627477540573,1.9601259874318653,,,0.2566842718330631
296,-0.1936730726235331,-0.06109337231668005,1.9586223327844314,0.11307355241093296,0.464732300321194,0.8748406758317369,0.0767597074878045,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.21244244062548198,-0.21237293593727835,0.23783000511437505,0.23845608504433247,0.1640901052100798,-0.21071622932096729,0.23896395698090753,0.23534738521666415,0.23525901960646242,-0.20653464108943909,0.23767588918715232,0.2373308535982269,1.9586223327844314,,,0.04592597093861328
304,-0.19715859551034934,-0.0573637645354072,1.9568900029093115,0.10745668393631258,0.4681860695274824,0.8734117465669,0.08004240336706656,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.21658943803637737,-0.2059580530378755,0.24434954942546355,0.24469498116365626,0.16410854186541024,-0.2040079850340171,0.24543310641860913,0.24154652160828194,0.24115733126508415,-0.19944681926850896,0.2441009079159297,0.24370351100631296,1.9568900029093115,,,0.06847687757175036
312,-0.20123391671898566,-0.05313643482240026,1.9548500639992272,0.10114030574117162,0.47209666509963105,0.871707390864596,0.08379500025913007,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.22072541022368358,-0.19954563774395778,0.2508529657330747,0.2509626095892772,0.16410876845629438,-0.197305876374175,0.25190880618222805,0.2477418453509142,0.24706764095548567,-0.19238453563438512,0.25052679046056675,0.25007627637847707,1.9548500639992272,,,0.20376967041890692
320,-0.20476154323559442,-0.048662334370248944,1.952819097975245,0.09438454526734326,0.47758471869706653,0.869164087079128,0.08693781578592179,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.22498854234194682,-0.19309824978828294,0.2570623413834545,0.25767045094727764,0.16412458780468858,-0.19083927093026837,0.2585005633522341,0.25394104590762967,0.2524903883243074,-0.18497967761997391,0.25692125884181066,0.25641035129482315,1.952819097975245,,,0.3240627442943018
328,-0.2066701784541327,-0.043652040466499134,1.9510854791384573,0.08747003379623891,0.4848700620474332,0.8657276047820935,0.0881233818918811,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.2293167149537183,-0.18642207511665101,0.2628899818834088,0.26480532250608063,0.1641181811155303,-0.18441666411275165,0.2650902381653981,0.26010599127098893,0.2539355855821456,-0.1731905272476092,0.26304764177955225,0.26239614750218476,1.9510854791384573,,,0.3414668042439293
336,-0.20866445367443806,-0.03809510834992966,1.9492125004346532,0.07991605095544205,0.4925876002687838,0.8620400913595594,0.08864401700019353,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.2335288068109455,-0.1797128576431198,0.2687297325539345,0.2718550853490903,0.1641229680622834,-0.17779381160326177,0.2714944516936605,0.2663032152629423,0.2541629238479519,-0.160017491751208,0.26908801623347034,0.26827400091857484,1.9492125004346532,,,0.3641112893596825
344,-0.20890409421639053,-0.03357669256616341,1.9479732574625188,0.07324039984484194,0.49991877910663324,0.8585689302273438,0.08704280656881071,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.23753684548064263,-0.1731577034723625,0.27485772646361933,0.278367862979872,0.1641134070938415,-0.17054951960040335,0.27717907831230637,0.2727273534103493,0.2540863998666263,-0.1465584160689188,0.2750920554570649,0.27413471385564414,1.9479732574625188,,,0.2346807912482427
352,-0.20569992637952478,-0.030195725625798527,1.9468246177326678,0.06732901891731544,0.5054560491710605,0.8559674670587561,0.0854440220555625,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.24152884892236373,-0.16637623537952367,0.28087689540252964,0.28506361958946946,0.16407681324174497,-0.16393736094313438,0.28397595224730615,0.2786686300257103,0.25395380177084975,-0.13275550376968964,0.28108279847092416,0.2799759146576751,1.9468246177326678,,,0.19549611648610132
360,-0.20139570826629047,-0.027684155814153115,1.9451674018705,0.061110885141655275,0.5096822297435262,0.8540095253499607,0.08460032513179565,0,0,1,0.706825181105366,0.0,0.0,0.7073882691671998,0.24554501783852287,-0.15959378066126845,0.286888351913746,0.29176934153630085,0.16406535825292337,-0.15730229946783228,0.2907598918525919,0.28461023646715,0.2539253335774912,-0.11898996219610025,0.2870703601392267,0.2858176161617796,1.9451674018705,,,0.33574682787823207
